a_x,word,level_x,word_translate_x,a_y,level_y,word_translate_y
56,achievement,A2,достижение,,,
103,adoption,A3,принятие,,,
115,advertising,A1,реклама,,,
125,affordable,A1,доступный,,,
132,afterwards,A1,после,,,
166,alert,A3,тревога,,,
202,although,A1,хотя,,,
217,among,A1,среди,,,
239,announcement,A2,объявление,,,
257,anybody,A1,любой,,,
258,anyone,A1,любой,,,
281,application,A2,приложение,,,
343,assert,A3,утверждать,,,
344,assertion,A3,утверждение,,,
348,assign,A1,назначать,,,
351,assistance,A1,помощь,,,
352,assistant,A1,помощник,,,
361,astonishing,A1,удивительный,,,
379,attorney,A3,адвокат,,,
382,attractive,A1,привлекательный,,,
401,available,A1,доступный,,,
415,back,A1,назад,,,
420,background,A1,фон,,,
423,backwards,A2,назад,,,
520,beside,A1,рядом,,,
538,bid,A1,делать ставку,,,
541,bike,A1,велосипед,,,
542,bill,A1,счет,,,
563,blame,A1,обвинять,,,
619,bound,A1,граница,,,
620,boundary,A3,граница,,,
643,breathing,A2,дыхание,,,
723,candidate,A2,кандидат,,,
728,capability,A3,способность,,,
729,capable,A1,способный,,,
747,cargo,A3,груз,,,
772,cautious,A3,осторожный,,,
800,chamber,A3,камера,,,
806,channel,A2,канал,,,
827,cheat,A2,изменять,,,
840,chest,A2,грудь,,,
868,civil,A1,гражданский,,,
914,clothing,A1,одежда,,,
940,collect,A1,собирать,,,
945,collision,A3,столкновение,,,
953,combat,A3,боевой,,,
970,commentary,A3,комментарий,,,
1017,complicated,A1,сложный,,,
1024,compound,A1,сложный,,,
1038,conception,A3,концепция,,,
1039,concern,A1,беспокойство,,,
1056,confidence,A1,уверенность,,,
1075,connection,A2,связь,,,
1082,consent,A3,согласие,,,
1092,considerably,A1,значительно,,,
1096,consistent,A1,последовательный,,,
1131,continually,A3,постоянно,,,
1151,convention,A1,соглашение,,,
1168,cooperate,A3,сотрудничать,,,
1181,corner,A1,угол,,,
1193,corresponding,A3,соответствующий,,,
1204,council,A1,совет,,,
1207,counsellor,A3,консультант,,,
1212,counterpart,A3,коллега,,,
1261,critique,A3,критика,,,
1270,cruel,A2,жестокий,,,
1301,customer,A1,клиент,,,
1358,declare,A1,объявить,,,
1368,deem,A3,пособие,,,
1379,defensive,A3,защитник,,,
1381,deficit,A3,дефицит,,,
1383,definite,A2,определенный,,,
1386,defy,A3,вызов,,,
1402,demand,A1,требовать,,,
1419,dependence,A3,зависимость,,,
1465,determination,A1,определение,,,
1466,determine,A2,определять,,,
1467,determined,A2,определенный,,,
1476,diagnosis,A3,диагноз,,,
1477,diagram,A2,диаграмма,,,
1488,different,A1,другой,,,
1492,difficulty,A2,сложность,,,
1509,directory,A3,каталог,,,
1543,disk,A1,диск,,,
1546,dismiss,A1,увольнять,,,
1554,dispute,A3,спор,,,
1556,disrupt,A3,разрушать,,,
1557,disruption,A3,нарушение,,,
1569,distribute,A1,распределять,,,
1570,distribution,A1,распределение,,,
1571,district,A1,округ,,,
1572,disturb,A1,беспокоить,,,
1573,disturbing,A3,тревожный,,,
1623,downwards,A1,вниз,,,
1657,dual,A3,двойной,,,
1661,dumb,A3,тупой,,,
1667,duty,A2,долг,,,
1697,economy,A2,экономика,,,
1712,efficiency,A3,эффективность,,,
1714,efficiently,A1,эффективно,,,
1731,electrical,A1,электрический,,,
1749,embarrassed,A2,смущенный,,,
1756,emerge,A1,появляться,,,
1757,emergence,A3,появление,,,
1763,emphasis,A1,акцент,,,
1767,employ,A1,применять,,,
1772,empty,A1,пустой,,,
1785,ending,A1,конец,,,
1794,engage,A1,привлекать,,,
1812,ensue,A3,последовательно,,,
1813,ensure,A1,гарантировать,,,
1821,enthusiastic,A1,энтузиазм,,,
1823,entirely,A1,полностью,,,
1828,entry,A2,вход,,,
1846,error,A1,ошибка,,,
1853,essence,A3,сущность,,,
1855,essentially,A1,по сути,,,
1859,estimate,A1,оценивать,,,
1867,evaluate,A1,оценивать,,,
1868,evaluation,A1,оценка,,,
1874,ever,A1,всегда,,,
1875,every,A1,каждый,,,
1876,everybody,A1,все,,,
1878,everyone,A1,каждый,,,
1879,everything,A1,все,,,
1882,evident,A1,очевидный,,,
1889,exact,A1,точный,,,
1890,exactly,A1,точно,,,
1893,examination,A1,экзамен,,,
1899,except,A2,кроме,,,
1903,excess,A3,избыток,,,
1912,exclusion,A3,исключение,,,
1926,exhibition,A2,выставка,,,
1929,existence,A1,существование,,,
1940,expense,A1,расход,,,
1941,expensive,A1,дорогой,,,
1950,expertise,A1,опыт,,,
1960,explore,A2,исследовать,,,
1961,explosion,A2,взрыв,,,
1967,exposure,A1,контакт,,,
1971,extension,A1,расширение,,,
1973,extensively,A1,широко,,,
1974,extent,A1,степень,,,
1976,extra,A1,дополнительный,,,
1991,facilitate,A3,способствовать,,,
2005,faith,A1,вера,,,
2026,farming,A1,сельское хозяйство,,,
2027,fascinating,A2,очаровательный,,,
2080,fighting,A2,боевой,,,
2129,fixture,A3,приспособление,,,
2137,flaw,A3,недостаток,,,
2201,forthcoming,A3,предстоящий,,,
2207,forward,A1,вперед,,,
2242,frightened,A2,испуганный,,,
2250,frustrated,A3,расстроенный,,,
2251,frustrating,A3,раздражающий,,,
2252,frustration,A3,разочарование,,,
2256,fulfil,A1,выполнить,,,
2257,full,A1,полный,,,
2275,furious,A1,яростный,,,
2295,gather,A2,собирать,,,
2296,gathering,A3,встреча,,,
2301,gender,A1,пол,,,
2303,general,A1,общий,,,
2307,generic,A3,общий,,,
2324,gig,A1,концерт,,,
2337,glory,A3,слава,,,
2341,goal,A1,цель,,,
2360,grade,A2,оценка,,,
2369,grandparent,A1,бабушка,,,
2381,great,A1,большой,,,
2394,grip,A3,схватить,,,
2398,ground,A1,земля,,,
2399,group,A1,группа,,,
2402,guarantee,A1,гарантия,,,
2407,guess,A1,предполагать,,,
2413,guideline,A1,руководство,,,
2414,guilt,A3,вина,,,
2419,guy,A1,парень,,,
2433,hand,A1,рука,,,
2442,happily,A1,к счастью,,,
2455,harsh,A3,жесткий,,,
2466,hazard,A3,опасность,,,
2494,help,A1,помощь,,,
2497,hence,A1,следовательно,,,
2500,herb,A1,трава,,,
2504,hers,A1,ее,,,
2506,hesitate,A1,сомневаться,,,
2507,hey,A1,привет,,,
2508,hi,A1,привет,,,
2510,hide,A1,скрывать,,,
2533,historical,A2,исторический,,,
2543,hollow,A1,пустой,,,
2563,horrible,A2,ужасный,,,
2575,house,A1,дом,,,
2577,household,A1,семья,,,
2579,how,A1,как,,,
2624,illness,A1,болезнь,,,
2628,image,A1,изображение,,,
2635,immense,A3,огромный,,,
2655,impression,A2,впечатление,,,
2661,in,A1,в,,,
2668,incidence,A3,частота,,,
2671,include,A1,включать,,,
2683,incur,A3,нести,,,
2697,indoors,A2,в помещении,,,
2698,induce,A3,придумать,,,
2703,inevitable,A1,неизбежный,,,
2712,influence,A2,влияние,,,
2718,information,A1,информация,,,
2741,input,A1,вход,,,
2742,inquiry,A1,расследование,,,
2760,instance,A1,пример,,,
2762,instantly,A1,немедленно,,,
2766,institution,A1,учреждение,,,
2783,integrity,A3,честность,,,
2792,intensity,A3,интенсивность,,,
2793,intensive,A3,интенсивный,,,
2795,intention,A2,намерение,,,
2809,intermediate,A3,средний,,,
2810,internal,A1,внутренний,,,
2814,interpretation,A1,интерпретация,,,
2817,intervene,A3,вмешиваться,,,
2818,intervention,A3,вмешательство,,,
2822,into,A1,в,,,
2832,investigation,A1,расследование,,,
2847,irony,A3,ирония,,,
2857,item,A1,элемент,,,
2858,its,A1,его,,,
2859,itself,A1,сам,,,
2867,jet,A1,самолет,,,
2869,job,A1,работа,,,
2879,joy,A1,радость,,,
2895,justice,A1,справедливость,,,
2899,keep,A1,держать,,,
2906,kid,A1,ребенок,,,
2909,kill,A1,убийство,,,
2910,killing,A2,убийство,,,
2922,knock,A2,поступить,,,
2929,laboratory,A2,лаборатория,,,
2931,lack,A2,недостаток,,,
2938,land,A1,земля,,,
2948,large,A1,большой,,,
2961,latest,A2,последний,,,
2963,latter,A3,последний,,,
2967,laughter,A1,смех,,,
2973,lawyer,A1,адвокат,,,
3025,let,A1,позволять,,,
3026,lethal,A3,смертоносный,,,
3035,liberty,A3,свобода,,,
3038,license,A3,лицензия,,,
3039,lie,A2,ложь,,,
3061,limitation,A1,ограничение,,,
3068,link,A1,связь,,,
3072,liquid,A2,жидкость,,,
3078,listing,A3,список,,,
3094,living,A2,жизнь,,,
3101,local,A1,местный,,,
3106,lock,A1,замок,,,
3114,long,A1,длинный,,,
3143,lower,A1,ниже,,,
3146,luck,A1,удача,,,
3153,machine,A1,машина,,,
3156,magazine,A1,журнал,,,
3162,magnificent,A1,великолепный,,,
3166,main,A1,основной,,,
3173,major,A1,главный,,,
3176,make,A1,делать,,,
3185,management,A2,управление,,,
3194,manufacturing,A1,производство,,,
3196,many,A1,много,,,
3198,map,A1,карта,,,
3204,margin,A1,допуск,,,
3213,marketplace,A3,рынок,,,
3217,martial,A1,боевой,,,
3219,mass,A1,масса,,,
3225,match,A1,соответствовать,,,
3227,matching,A1,соответствующий,,,
3228,mate,A1,приятель,,,
3234,maths,A1,математика,,,
3242,may,A1,может,,,
3247,meal,A1,еда,,,
3249,meaning,A1,значение,,,
3253,meanwhile,A2,тем временем,,,
3256,measurement,A1,измерение,,,
3260,mechanism,A1,механизм,,,
3265,medicine,A1,лекарство,,,
3271,meeting,A1,встреча,,,
3291,merger,A3,слияние,,,
3300,middle,A1,середина,,,
3303,midst,A3,середина,,,
3340,missing,A1,отсутствующий,,,
3342,mistake,A1,ошибка,,,
3357,modern,A1,современный,,,
3358,modest,A1,скромный,,,
3361,moment,A1,мгновенный,,,
3382,moreover,A1,более того,,,
3386,most,A1,большинство,,,
3405,movement,A1,движение,,,
3406,movie,A1,фильм,,,
3408,much,A1,много,,,
3411,mud,A2,грязь,,,
3416,murder,A2,убийство,,,
3426,my,A1,мой,,,
3427,myself,A1,сам,,,
3432,naked,A1,голый,,,
3455,nearby,A1,рядом,,,
3457,nearly,A1,около,,,
3475,neighbouring,A3,соседний,,,
3484,network,A1,сеть,,,
3493,next,A1,следующий,,,
3497,nice,A1,хороший,,,
3508,nobody,A1,никто,,,
3514,nominee,A3,кандидат,,,
3516,none,A1,никто,,,
3517,nonetheless,A3,тем не менее,,,
3519,noon,A3,полдень,,,
3525,normally,A1,обычно,,,
3531,not,A1,нет,,,
3540,notify,A3,поставить в известность,,,
3542,notorious,A3,печально известный,,,
3543,novel,A3,роман,,,
3563,object,A1,объект,,,
3566,objective,A1,цель,,,
3568,obligation,A1,обязательство,,,
3569,oblige,A3,обязательно,,,
3576,obtain,A1,получать,,,
3577,obvious,A2,очевидный,,,
3583,occupy,A1,занимать,,,
3599,offering,A3,предложение,,,
3605,often,A1,часто,,,
3607,oil,A1,масло,,,
3617,one,A1,один,,,
3620,ongoing,A1,непрерывный,,,
3624,only,A1,только,,,
3626,onto,A1,на,,,
3629,opening,A1,открытие,,,
3639,oppose,A1,противостоять,,,
3640,opposed,A1,против,,,
3651,or,A1,или,,,
3672,other,A1,другой,,,
3675,ought,A2,должен,,,
3677,ours,A2,наш,,,
3679,out,A1,вне,,,
3681,outbreak,A3,вспышка,,,
3684,outdoors,A2,на открытом воздухе,,,
3685,outer,A1,внешний,,,
3686,outfit,A1,одежда,,,
3688,outlet,A3,выход,,,
3692,output,A1,выход,,,
3704,overall,A1,общий,,,
3707,overlook,A3,игнорировать,,,
3720,owner,A1,владелец,,,
3729,packet,A1,пакет,,,
3736,painter,A1,художник,,,
3738,pair,A1,пара,,,
3753,parental,A3,родительский,,,
3763,partially,A3,частично,,,
3764,participant,A1,участник,,,
3766,participation,A1,участие,,,
3768,particularly,A2,особенно,,,
3769,partly,A1,частично,,,
3791,pathway,A3,путь,,,
3810,pen,A1,ручка,,,
3822,percentage,A2,процент,,,
3826,perform,A1,выполнять,,,
3828,perhaps,A1,возможно,,,
3830,permanent,A1,постоянный,,,
3831,permanently,A1,постоянно,,,
3832,permission,A1,разрешение,,,
3833,permit,A1,разрешать,,,
3837,person,A1,человек,,,
3839,personality,A1,личность,,,
3843,persuade,A2,убеждать,,,
3858,photography,A2,фотография,,,
3861,physician,A3,врач,,,
3864,pick,A1,выбирать,,,
3868,piece,A1,кусок,,,
3888,placement,A1,размещение,,,
3892,plane,A1,самолет,,,
3906,pleasant,A2,приятный,,,
3913,plenty,A2,множество,,,
3927,point,A1,точка,,,
3935,policeman,A1,полицейский,,,
3940,politics,A2,политика,,,
3941,poll,A3,голосование,,,
3954,portion,A1,часть,,,
3956,portray,A3,изображение,,,
3963,possession,A1,владение,,,
3964,possibility,A1,возможность,,,
3966,possibly,A2,возможно,,,
3967,post,A1,почта,,,
3981,power,A1,власть,,,
3986,practise,A1,упражняться,,,
3996,precise,A1,точный,,,
3998,precision,A3,точность,,,
4003,prediction,A2,прогноз,,,
4017,prescribe,A3,назначать,,,
4020,present,A1,подарок,,,
4024,presently,A3,в настоящее время,,,
4025,preservation,A3,сохранение,,,
4027,preside,A3,председатель,,,
4031,press,A2,нажимать,,,
4045,previously,A2,ранее,,,
4046,prey,A3,добыча,,,
4053,prime,A1,основной,,,
4056,principal,A1,главный,,,
4065,prison,A1,тюрьма,,,
4072,probability,A1,вероятность,,,
4073,probable,A1,вероятный,,,
4077,problem,A1,проблема,,,
4090,producer,A2,режиссер,,,
4092,production,A2,производство,,,
4094,productivity,A3,производительность,,,
4100,profit,A2,выгода,,,
4102,profound,A3,глубокий,,,
4105,programme,A1,программа,,,
4118,promote,A2,продвигать,,,
4120,prompt,A1,быстрый,,,
4123,proof,A1,доказательство,,,
4125,proper,A2,правильный,,,
4126,properly,A2,правильно,,,
4129,proposal,A1,предложение,,,
4131,proposition,A3,предложение,,,
4135,prospect,A1,перспектива,,,
4136,prospective,A3,перспектива,,,
4138,protect,A1,защищать,,,
4139,protection,A1,защита,,,
4148,provide,A1,предоставлять,,,
4161,publicity,A1,реклама,,,
4177,pure,A1,чистый,,,
4181,purpose,A1,цель,,,
4182,pursue,A1,преследовать,,,
4192,quantity,A1,количество,,,
4202,quick,A1,быстрый,,,
4206,quit,A2,покидать,,,
4210,quote,A2,цитировать,,,
4227,railway,A1,железнодорожный,,,
4230,raise,A1,поднимать,,,
4233,random,A1,случайный,,,
4236,rank,A1,классифицировать,,,
4242,rapidly,A1,быстро,,,
4249,rating,A1,рейтинг,,,
4254,reach,A1,достигать,,,
4260,readily,A3,легко,,,
4262,ready,A1,готовый,,,
4268,really,A1,действительно,,,
4269,realm,A3,область,,,
4272,reason,A1,причина,,,
4273,reasonable,A1,разумный,,,
4282,receive,A1,получать,,,
4285,recently,A1,недавно,,,
4288,recipe,A1,рецепт,,,
4289,recipient,A3,получатель,,,
4290,reckon,A1,считать,,,
4291,recognition,A1,признание,,,
4318,refuge,A3,убежище,,,
4320,refusal,A3,отказ,,,
4321,refuse,A1,мусор,,,
4322,regain,A3,восстановить,,,
4323,regard,A1,внимание,,,
4326,regime,A3,режим,,,
4327,region,A1,область,,,
4334,regular,A1,обычный,,,
4336,regulate,A1,регулировать,,,
4345,rejection,A3,отказ,,,
4347,related,A2,связанный,,,
4348,relation,A2,связь,,,
4349,relationship,A1,отношение,,,
4359,relevant,A1,соответствующий,,,
4372,remark,A1,примечание,,,
4375,remarkably,A1,примечательно,,,
4376,remedy,A3,средство,,,
4385,renowned,A3,известный,,,
4396,reply,A1,отвечать,,,
4403,represent,A2,представлять,,,
4411,request,A1,запрос,,,
4413,require,A2,требовать,,,
4417,research,A1,исследовать,,,
4420,resemble,A3,напоминать,,,
4421,reservation,A2,бронирование,,,
4426,resident,A1,житель,,,
4429,residue,A3,остаток,,,
4432,resist,A1,сопротивляться,,,
4434,resolution,A1,разрешение,,,
4435,resolve,A1,решать,,,
4440,respective,A3,соответствующий,,,
4441,respectively,A3,соответственно,,,
4442,respond,A1,отвечать,,,
4445,responsible,A2,ответственный,,,
4449,restoration,A3,восстановление,,,
4450,restore,A1,восстановить,,,
4452,restrict,A1,ограничивать,,,
4453,restriction,A1,ограничение,,,
4470,revenue,A1,доход,,,
4476,revise,A2,исправлять,,,
4500,rise,A2,рост,,,
4511,robbery,A1,ограбление,,,
4516,rocket,A1,ракета,,,
4521,romance,A1,роман,,,
4530,rough,A2,грубый,,,
4544,rubbish,A1,мусор,,,
4545,rude,A1,грубый,,,
4551,ruling,A3,решение,,,
4558,rush,A1,торопиться,,,
4562,sacrifice,A3,жертва,,,
4572,saint,A3,святой,,,
4592,save,A1,сохранять,,,
4593,saving,A1,сохранение,,,
4601,scared,A1,испуганный,,,
4609,scheme,A1,схема,,,
4615,scientist,A1,ученый,,,
4617,score,A1,счет,,,
4628,script,A2,сценарий,,,
4651,secure,A1,безопасный,,,
4653,security,A2,безопасность,,,
4661,seize,A3,захватывать,,,
4662,seldom,A3,редко,,,
4663,select,A1,выбирать,,,
4664,selection,A1,выбор,,,
4675,sensible,A2,разумный,,,
4678,sentence,A1,предложение,,,
4680,sentiment,A3,настроение,,,
4683,separation,A3,разделение,,,
4685,sequence,A1,последовательность,,,
4687,series,A1,ряд,,,
4692,service,A1,услуга,,,
4694,set,A2,набор,,,
4697,setting,A2,параметр,,,
4704,several,A1,несколько,,,
4706,severe,A1,серьезный,,,
4716,shall,A1,должен,,,
4719,shape,A1,форма,,,
4725,sharp,A2,острый,,,
4730,sheer,A3,явный,,,
4731,sheet,A1,лист,,,
4739,shiny,A2,блестящий,,,
4754,shopping,A1,покупка,,,
4761,should,A1,должен,,,
4774,sick,A1,больной,,,
4784,significance,A1,значение,,,
4788,silent,A2,тихий,,,
4796,simple,A1,простой,,,
4797,simply,A2,просто,,,
4809,single,A1,одинокий,,,
4828,skilled,A1,квалифицированный,,,
4829,skin,A1,кожа,,,
4834,slam,A3,шлем,,,
4841,slice,A2,кусочек,,,
4845,slight,A1,легкий,,,
4846,slightly,A2,немного,,,
4855,small,A1,маленький,,,
4856,smart,A2,умный,,,
4876,soar,A3,проходить,,,
4882,soft,A1,мягкий,,,
4884,soil,A2,земля,,,
4888,solely,A3,исключительно,,,
4889,solicitor,A3,адвокат,,,
4890,solid,A2,твердый,,,
4895,solution,A1,решение,,,
4896,solve,A1,решать,,,
4911,sophisticated,A1,сложный,,,
4921,source,A1,источник,,,
4946,specimen,A3,образец,,,
4960,spending,A2,расходы,,,
4963,spicy,A2,острый,,,
4977,spokesperson,A1,представитель,,,
4978,spokeswoman,A1,пресс -секретарь,,,
4985,spot,A2,место,,,
5004,staff,A2,персонал,,,
5007,stair,A1,лестница,,,
5008,stake,A3,доля,,,
5010,stamp,A1,печать,,,
5011,stance,A1,позиция,,,
5021,start,A1,начинать,,,
5024,state,A2,состояние,,,
5033,stay,A1,оставаться,,,
5042,stem,A3,корень,,,
5044,step,A1,шаг,,,
5050,stiff,A1,жесткий,,,
5054,stimulus,A3,стимул,,,
5058,stone,A1,камень,,,
5062,store,A1,магазин,,,
5065,story,A1,история,,,
5066,straight,A1,прямой,,,
5068,straightforward,A3,простой,,,
5071,strange,A1,странный,,,
5075,stream,A1,транслировать,,,
5077,strength,A2,сила,,,
5078,strengthen,A1,укреплять,,,
5084,strictly,A1,строго,,,
5085,strike,A1,ударять,,,
5088,string,A2,нить,,,
5096,structure,A1,состав,,,
5109,stupid,A1,глупый,,,
5121,substantial,A3,существенный,,,
5122,substantially,A3,существенно,,,
5123,substitute,A3,заменять,,,
5125,substitution,A3,замена,,,
5133,succession,A3,последовательность,,,
5134,successive,A3,последовательно,,,
5145,sufficiently,A1,достаточно,,,
5148,suggestion,A1,предположение,,,
5153,suite,A3,набор,,,
5166,supervise,A3,контролировать,,,
5173,support,A1,поддерживать,,,
5177,suppose,A1,предполагать,,,
5178,supposedly,A3,предположительно,,,
5181,sure,A1,конечно,,,
5183,surely,A2,конечно,,,
5188,surgery,A1,операция,,,
5190,surplus,A3,избыток,,,
5194,surprising,A1,удивительный,,,
5197,surrounding,A1,окружение,,,
5198,surveillance,A3,наблюдение,,,
5210,sustain,A3,поддерживать,,,
5211,sustainable,A1,устойчивый,,,
5218,swim,A2,плавать,,,
5228,sympathetic,A1,симпатичный,,,
5251,tall,A1,высокий,,,
5252,tank,A1,бак,,,
5256,target,A1,цель,,,
5259,taste,A1,вкус,,,
5270,tear,A1,рвать,,,
5276,teenage,A1,подростка,,,
5277,teenager,A1,подростка,,,
5279,telephone,A1,телефон,,,
5292,tender,A3,нежный,,,
5294,tension,A1,напряжение,,,
5304,terrible,A1,ужасный,,,
5324,thankfully,A3,к счастью,,,
5335,theirs,A2,их,,,
5336,them,A1,их,,,
5351,thick,A1,толстый,,,
5353,thin,A1,тонкий,,,
5366,thoroughly,A1,тщательно,,,
5367,though,A2,хотя,,,
5373,thread,A3,нить,,,
5378,thrilled,A3,взволнованный,,,
5379,thrive,A3,процветать,,,
5381,through,A1,через,,,
5383,throughout,A2,через,,,
5385,throw,A1,бросать,,,
5391,tidy,A1,аккуратный,,,
5397,till,A2,до,,,
5403,timing,A1,время,,,
5410,title,A1,заголовок,,,
5412,to,A1,к,,,
5421,tolerate,A3,терпеть,,,
5428,tongue,A2,язык,,,
5431,tonne,A1,тонна,,,
5433,tool,A1,инструмент,,,
5438,topic,A1,тема,,,
5441,toss,A3,бросать,,,
5442,total,A2,общий,,,
5445,totally,A2,полностью,,,
5448,tough,A1,жесткий,,,
5454,towards,A1,к,,,
5457,town,A1,город,,,
5468,trading,A1,торговля,,,
5474,trail,A3,тащить,,,
5479,trainer,A1,тренер,,,
5480,training,A1,обучение,,,
5493,transmit,A1,передавать,,,
5495,transparent,A3,прозрачный,,,
5498,transportation,A1,транспорт,,,
5506,treat,A2,обращаться,,,
5507,treatment,A2,уход,,,
5508,treaty,A3,договор,,,
5510,tremendous,A3,огромный,,,
5514,tribe,A1,племя,,,
5523,trip,A1,путешествие,,,
5531,troubled,A3,обеспокоенный,,,
5532,trousers,A1,брюки,,,
5533,truck,A1,грузовик,,,
5535,truly,A1,действительно,,,
5540,try,A1,пытаться,,,
5543,tube,A2,трубка,,,
5545,tuition,A3,обучение,,,
5546,tune,A1,мелодия,,,
5548,turn,A1,повернуть,,,
5564,typically,A2,обычно,,,
5576,under,A1,под,,,
5578,undergo,A1,проходить,,,
5584,understand,A1,понимать,,,
5585,understanding,A1,понимание,,,
5596,unhappy,A1,несчастный,,,
5613,unpleasant,A2,неприятный,,,
5615,until,A1,до,,,
5618,unveil,A3,раскрыть,,,
5621,upcoming,A3,предстоящий,,,
5622,update,A2,обновлять,,,
5626,uphold,A3,поддерживать,,,
5627,upon,A2,на,,,
5629,upset,A2,расстройство,,,
5633,upwards,A1,вверх,,,
5638,usage,A1,применение,,,
5643,useful,A1,полезный,,,
5646,usual,A1,обычный,,,
5647,usually,A1,обычно,,,
5649,utilize,A3,использовать,,,
5654,valid,A1,действительный,,,
5658,value,A2,ценить,,,
5666,variety,A1,разнообразие,,,
5669,vast,A1,огромный,,,
5673,venture,A3,риск,,,
5678,verify,A3,проверять,,,
5679,verse,A3,стих,,,
5680,version,A2,версия,,,
5681,versus,A3,против,,,
5683,very,A1,очень,,,
5689,vibrant,A3,яркий,,,
5692,victim,A2,жертва,,,
5697,viewer,A2,зритель,,,
5702,violation,A3,нарушение,,,
5704,violent,A2,жестокий,,,
5706,virtue,A3,достоинство,,,
5711,visit,A1,посещать,,,
5719,volume,A1,объем,,,
5723,vote,A2,голосование,,,
5725,voting,A1,голосование,,,
5740,ward,A3,сторожить,,,
5757,watch,A1,смотреть,,,
5770,wealthy,A1,богатый,,,
5771,weapon,A2,оружие,,,
5777,wedding,A1,свадьба,,,
5778,wednesday,A1,среда,,,
5784,weight,A1,масса,,,
5785,weird,A1,странный,,,
5791,well,A1,хорошо,,,
5799,western,A2,западный,,,
5801,what,A1,что,,,
5821,while,A1,пока,,,
5823,whilst,A3,пока,,,
5831,whole,A1,весь,,,
5833,wholly,A3,полностью,,,
5838,wide,A1,широкий,,,
5839,widely,A1,широко,,,
5840,widen,A3,расширять,,,
5849,willing,A1,готовый,,,
5864,wish,A1,желание,,,
5867,with,A1,с,,,
5868,withdraw,A1,отзывать,,,
5877,wonderful,A1,замечательный,,,
5878,wood,A1,древесина,,,
5880,wool,A2,шерсть,,,
5882,work,A1,работа,,,
5890,world,A1,мир,,,
5902,worst,A1,худший,,,
5917,writing,A1,письмо,,,
5925,yell,A3,кричать,,,
5931,yet,A1,еще,,,
5933,yield,A3,урожай,,,
5941,yourself,A1,сам,,,
